Playlist,Song,SongID,Artist,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Trump,Hello,0mHyWYXmmCB9iQyK18m3FQ,Lionel Richie,0.414,0.487,251.107,0.246,0,9,0.0983,-14.104,0,0.0376,61.084,4,0.0562
Trump,Revolution - Remastered 2009,3UDmHZcBTQp8Iu8droNtUl,The Beatles,0.0734,0.407,205.293,0.834,0.00021,6,0.241,-9.224,1,0.208,121.38,4,0.71
Trump,Songbird,1HQAvqPT5ybjUQMWTU2tGf,Kenny G,0.0595,0.475,303.253,0.477,0.805,7,0.121,-9.284,1,0.0307,135.383,4,0.109
Trump,Wanna Be Startin' Somethin',2kulOHR2XY6YDZCWXb38hn,Michael Jackson,0.0219,0.846,362.373,0.922,0.355,6,0.0623,-4.206,0,0.0438,122.195,4,0.899
Trump,Memory,47i10K4nwAc62K6hNWYb9m,Andrew Lloyd Webber,0.759,0.239,315.627,0.127,0.00328,5,0.0907,-16.427,0,0.0341,94.825,3,0.0765
Trump,Knockin' On Heaven's Door,4JiEyzf0Md7KEFFGWDDdCr,Guns N' Roses,0.0211,0.496,336.0,0.739,0.00444,6,0.106,-7.193,1,0.0415,132.41,4,0.378
Trump,Macho Man,22kv2NoeaD7qhTgShfZjIv,Village People,0.0523,0.745,314.8,0.593,0,5,0.582,-12.33,1,0.0439,132.897,4,0.888
Trump,Brown Sugar,34K7nU8EWQIRI93RfqhdRJ,The Rolling Stones,0.164,0.64,229.173,0.874,0.000141,0,0.0775,-5.772,1,0.0317,128.395,4,0.965
Trump,Con te partirò,7zrpoAJte9o12TzawqgdD0,Andrea Bocelli,0.844,0.241,250.984,0.367,0.00279,7,0.0873,-7.95,1,0.0311,135.267,5,0.302
Trump,Don't Stop The Music,1Jo0Zg7XlrA6z0mFTZVdkn,Rihanna,0.0336,0.835,267.08,0.669,6.92e-05,6,0.0535,-5.582,0,0.0643,122.668,4,0.542
Trump,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,Pharrell Williams,0.219,0.647,232.72,0.822,0,5,0.0908,-4.662,0,0.183,160.019,4,0.962
Trump,Livin' On The Edge,4avSaixVwu8uqfSs7zgoj3,Aerosmith,0.0019,0.399,380.893,0.881,0.00429,2,0.39,-4.341,1,0.0347,84.58,4,0.272
Trump,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,Adele,0.131,0.729,228.293,0.756,0,8,0.0527,-5.119,1,0.0294,104.945,4,0.522
Trump,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,Guns N' Roses,0.0901,0.446,356.067,0.952,0.0857,6,0.112,-5.321,1,0.0523,125.303,4,0.624
Trump,It's The End Of The World As We Know It (And I Feel Fine),2oSpQ7QtIKTNFfA08Cy0ku,R.E.M.,0.0258,0.381,246.933,0.894,0,7,0.0251,-8.638,1,0.037,205.528,4,0.797
Trump,The Parachutes,70XOTiQ3NNPhr7s1k9p2lH,Jerry Goldsmith,0.564,0.171,324.027,0.216,0.401,0,0.174,-19.078,1,0.039,132.047,4,0.06
